"year","n","nvsl","nfh","catch.sub","catch.leg","catch.ovr","catch.slt","catch.tot","m.cpue.sub","m.cpue.leg","m.cpue.ovr","m.cpue.slt","m.cpue.tot","v.cpue.sub","v.cpue.leg","v.cpue.ovr","v.cpue.slt","v.cpue.tot"
2009,364,2,25527.3583333333,226,293,27,341,546,0.861754128827898,1.15888151123545,0.108886358857285,1.33545463194928,2.12952199892064,2.36251983542997,3.78394489506741,0.218196758203187,4.48670280808985,8.01924947310811
2010,320,2,21136.2566666667,169,193,41,205,403,0.819353252722958,0.925664307760623,0.186487262013419,0.982708178678251,1.931504822497,2.70196745517487,2.99777888770378,0.291578039595562,3.15714379069349,8.77114340503587
2011,400,2,26823.4,370,303,58,326,731,1.35213816255535,1.01508698408114,0.197998325673579,1.0929098288433,2.56522347231006,4.35509965455319,2.25024081106808,0.302731557484346,2.60890320182649,9.06853331158103
2012,290,2,19649.7666666667,208,100,28,108,337,0.980783348807144,0.476810011205,0.134217145550416,0.513994119096484,1.59612085039015,3.91276379311317,1.02996091200454,0.230343550990521,1.08898077086951,7.35701091778475
2013,211,2,13411.35,113,57,23,57,194,0.81020981960304,0.388633465081139,0.169817554882965,0.388633465081139,1.37634625009616,2.60704861506031,0.738063059864266,0.264717180538178,0.738063059864266,4.86166465713317
2014,399,2,24687.7533333333,377,120,24,120,521,1.49372818465127,0.462243975515099,0.0882729557451633,0.462243975515099,2.04424511591154,7.30121251410877,0.905412609880743,0.125324479887222,0.905412609880743,9.21900199205194
2015,348,2,22505.0666666667,226,113,19,113,358,1.0140148160176,0.491810583630574,0.086055018658619,0.491810583630574,1.59188041830679,2.55270948129388,1.06686484761765,0.148093338471391,1.06686484761765,4.29231620040613
2016,191,2,12109.1666666667,77,37,7,37,121,0.639199413743076,0.309059521947344,0.0580282242454188,0.309059521947344,1.00628715993584,1.56264320138696,0.575987641731295,0.0942914121895568,0.575987641731295,2.29253447395715
2017,186,2,11362.5,218,156,37,156,412,1.82228724501436,1.29748272576661,0.311184028379425,1.29748272576661,3.43967239497556,6.92875726785763,3.23369624845131,0.489762217488808,3.23369624845131,15.6709466710026
2019,168,1,10697.5,109,140,19,140,269,1.00735656523601,1.27671504640589,0.17198267130569,1.27671504640589,2.46476508434132,3.05780697721323,3.03989485067914,0.260786550610586,3.03989485067914,8.79206945943324
